Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	Unnamed: 24	CROWDSAP
2_RW_Hya	58761688	37	TESS-SPOC	600	7.2256999	222.79730224609372	0.1711812508255583	0.0	6.612417147779087	-1.4058907783917438	2.76476153229606	4.368056878300681	Merc	1	0	1	-5.2243001	-6.2164955	1	2.244360269478406	6.205120937667516	4.413657897924196	-2.37771878	-5.33645755	0.99810123
2_RW_Hya	58761688	64	TESS-SPOC	200	7.2256999	675.5452880859375	0.1148072849440326	0.0	8.695271323682089	-1.333082261729332	2.021479648208447	5.128952735460591	Merc	1	0	1	-5.2243001	-6.2164955	1	3.566318588221498	7.20924044511724	5.407948670598244	-1.95595795	-6.97556919	0.99811614
2_CI_Cyg	83299618	81	SPOC	20	7.94080019	888.1580200195312	0.2178355418836035	0.0	9.707021022756557	-1.2909750529257913	2.068657909300232	5.679278836973969	Merc	1	0	1	-999.0	-999.0	0	4.027742185782588	8.332020729241354	6.454052470152806	-2.02897155	-8.17217432	0.97930032
2_CI_Cyg	83299618	75	SPOC	20	7.94080019	2245.10302734375	0.0920613588487406	0.0	9.36551662744818	-1.408974513406466	1.983501546184661	6.303350772940152	Merc	1	0	1	-999.0	-999.0	0	3.062165854508028	6.073810707090548	4.310802395144783	-1.87010588	-5.72657438	0.98112577
2_CI_Cyg	83299618	74	SPOC	20	7.94080019	907.5853881835938	0.1273130459934204	0.0	10.080979150625682	-1.5170998801401536	2.094942010876224	5.715104617876345	Merc	1	0	1	-999.0	-999.0	0	4.365874532749337	9.146253972871191	6.028775094245105	-2.06762616	-9.02699639	0.98367816
2_CI_Cyg	83299618	82	SPOC	20	7.94080019	825.63720703125	0.2920231014478973	0.0	9.781258312370197	-1.4613157913486217	2.1715893941689157	5.611102364691932	Merc	1	0	1	-999.0	-999.0	0	4.170155947678265	9.055866428008542	6.197063277918216	-2.13617666	-8.9081898	0.98452854
2_CI_Cyg	83299618	82	SPOC	120	7.94080019	400.84381103515625	0.0812307867993634	0.0	7.573321197044591	-1.3860522084511793	2.309611147727551	4.949582194080636	Merc	1	0	1	-999.0	-999.0	0	2.623739002963955	6.05981684997312	4.371997543111713	-2.09506126	-5.49689394	0.98452812
2_CI_Cyg	83299618	81	SPOC	120	7.94080019	737.3494873046875	0.1239495326667018	0.0	9.195172179156849	-1.3561066014724954	1.9365838266732085	5.003643955871678	Merc	1	0	1	-999.0	-999.0	0	4.191528223285169	8.117245766258348	5.985698880489509	-1.90576482	-7.98806702	0.97930008
2_CI_Cyg	83299618	75	SPOC	120	7.94080019	483.97161865234375	0.0812346841072186	0.0	8.641980951660376	-1.2953113812837185	2.1529151049495323	4.971301641787153	Merc	1	0	1	-999.0	-999.0	0	3.670679309873223	7.902660931651787	6.100973901595657	-2.09091788	-7.67508898	0.98112559
2_CI_Cyg	83299618	74	SPOC	120	7.94080019	531.6473999023438	0.0880026468583592	0.0	8.622294066518359	-1.3960141419194705	2.057715170867509	5.052138359698429	Merc	1	0	1	-999.0	-999.0	0	3.5701557068199303	7.346363560282585	5.262384770817288	-1.99130815	-7.10928015	0.98367816
2_DD_Mic	126658353	1	SPOC	120	9.92549992	1044.8355712890625	0.0755786865668989	0.0	8.444502633050668	-1.2794371266593114	1.9685316548141405	5.789964252079898	Merc	1	0	1	-4.1945001	-4.3559825	1	2.65453838097077	5.225542831860039	4.08425136568004	-1.791737	-4.75623463	0.9787007
2_DD_Mic	126658353	27	SPOC	120	9.92549992	1058.3583984375	0.3837814106836392	3.0973623260828777e-61	7.481647040598357	-1.7342990799302869	2.1104164855547007	5.77338385883634	Merc	1	0	1	-4.1945001	-4.3559825	1	1.7082631817620175	3.605146780456688	2.0787341826887222	-1.59672991	-2.72763491	0.97605687
2_DD_Mic	126658353	1	TESS-SPOC	1800	9.92549992	460.2160949707031	0.214740707929596	1.596990645378284e-42	7.703839735992282	-1.4004927158362532	2.076960896986864	4.842270847673288	Merc	1	0	1	-4.1945001	-4.3559825	1	2.8615688883189945	5.943366685072722	4.243768366566518	-1.928514	-5.51857568	0.97478044
2_DD_Mic	126658353	27	TESS-SPOC	600	9.92549992	1415.7830810546875	0.1006261466420709	0.0	8.267393123956142	-1.4419734716948052	2.272809432347628	5.619275473978302	Merc	1	0	1	-4.1945001	-4.3559825	1	2.64811764997784	6.018666772835867	4.173909500402877	-2.06724469	-5.47430715	0.97142613
2_DD_Mic	126658353	67	TESS-SPOC	200	9.92549992	986.6416625976562	0.3249636604981847	0.0	8.908508521177975	-1.5051772065767002	2.397924118690005	5.547402032759226	Merc	1	0	1	-4.1945001	-4.3559825	1	3.3611064884187485	8.059678314064787	5.354637499723581	-2.29991856	-7.7302712	0.97463065
2_Hen_3-160	139977336	36	SPOC	120	12.51599979	25567.837890625	0.0769864396655514	0.0	11.009058757326317	-1.6360213169178834	2.4549719336493543	8.41263844766183	Merc	1	0	1	-999.0	-999.0	0	2.5964203096644862	6.374138988183479	3.896122209575962	-2.21999815	-5.76404828	0.89372778
2_Hen_3-160	139977336	35	SPOC	120	12.51599979	13999.259765625	0.0907473626575144	0.0	10.744449038692846	-1.4799476027607903	2.3104896307126683	7.903411524366451	Merc	1	0	1	-999.0	-999.0	0	2.841037514326395	6.5641877173168295	4.435419000694056	-2.14155156	-6.08422833	0.91210848
2_Hen_3-160	139977336	36	TESS-SPOC	600	12.51599979	8415.470703125	0.0585884753953916	1.2828170134923505e-44	9.527278045239784	-1.9311382340910437	2.255031099847577	6.139299435164393	Merc	1	0	1	-999.0	-999.0	0	3.3879786100753897	7.639997131338373	3.956214524919496	-2.16561664	-7.33706286	0.81105018
2_Hen_3-160	139977336	35	TESS-SPOC	600	12.51599979	3149.32666015625	0.3075678803496711	4.762364753124881e-62	9.165395398272688	-1.822764876752977	2.1459089248134977	5.828854049817315	Merc	1	0	1	-999.0	-999.0	0	3.3365413484553725	7.159913857659646	3.9280512527836935	-2.05574159	-6.85906682	0.83314562
2_WRAY_15-157	154230723	88	SPOC	120	11.85680008	1417.1014404296875	0.1026251218282205	0.0	8.549754533763975	-1.448026154495541	2.0968534691850014	6.022242283334779	Merc	1	0	1	-999.0	-999.0	0	2.527512250429196	5.29982283072005	3.66003253067372	-1.88048553	-4.75295021	0.82575649
2_V1016_Cyg	171876171	41	SPOC	20	11.21310043	5933.74462890625	0.1504255600697387	2.707173450723869e-30	9.06477257627971	-1.4456264607923612	1.9463746090389724	7.299238026803665	Merc	1	0	1	-999.0	-999.0	0	1.7655345494760448	3.436391618481235	2.377095129123271	-1.4989055	-2.64636944	0.82761461
2_V1016_Cyg	171876171	41	SPOC	120	11.21310043	2582.16552734375	0.1353947903914676	3.0147278521307086e-09	7.26229904860802	-1.6791252878566416	2.024087474277493	6.561761880518063	Merc	1	0	1	-999.0	-999.0	0	0.7005371680899577	1.41794850719671	0.8444566450468286	-0.85178282	-0.59670553	0.82760882
2_V1016_Cyg	171876171	55	SPOC	20	11.21310043	6095.3935546875	0.0607419495664082	8.043895850926935e-109	9.542069100361422	-1.385448809185413	2.210056670835094	7.334892465765813	Merc	1	0	1	-999.0	-999.0	0	2.2071766345956085	4.877985444999378	3.520870213795509	-1.88819668	-4.16758359	0.80274659
2_V1016_Cyg	171876171	54	SPOC	20	11.21310043	6180.7431640625	0.104839030346397	1.0261188728156304e-281	9.58628582601197	-1.3950523688813583	2.1336217205126786	7.362844343716918	Merc	1	0	1	-999.0	-999.0	0	2.223441482295052	4.74398304091363	3.4005770297481064	-1.82821305	-4.06492472	0.8133651
2_V1016_Cyg	171876171	55	SPOC	120	11.21310043	2625.07373046875	0.1214921814829718	1.0696628510673558e-12	7.553984015241149	-1.5192189186538685	1.8284681432586631	6.591495008536001	Merc	1	0	1	-999.0	-999.0	0	0.9624890067051473	1.7598804869970357	1.1584113819201316	-0.95557431	-0.91972977	0.8027423
2_V1016_Cyg	171876171	54	SPOC	120	11.21310043	2626.8095703125	0.1296248844649825	2.7526633601205613e-61	8.227269394050568	-1.4216011176053098	1.884075365109941	6.587775653515518	Merc	1	0	1	-999.0	-999.0	0	1.63949374053505	3.088929767794037	2.172852658555408	-1.39332707	-2.28435101	0.81335694
2_V1016_Cyg	171876171	81	SPOC	20	11.21310043	6101.8447265625	0.1502308247277911	1.4223638461195803e-101	9.129534497971964	-1.479266776735255	2.328216307555768	7.328331438171115	Merc	1	0	1	-999.0	-999.0	0	1.8012030598008506	4.193590337047687	2.8349114595157405	-1.81180488	-3.2634285	0.78600281
2_V1016_Cyg	171876171	75	SPOC	20	11.21310043	6267.3857421875	0.1949545306357108	1.2007638701353789e-85	9.366647491970026	-1.3854556089160086	2.404268444251861	7.35774025240339	Merc	1	0	1	-999.0	-999.0	0	2.008907239566636	4.829952283519176	3.4861833554509687	-1.97310409	-3.96378308	0.83871847
